Check Number        Amount              Date
462843              32.91               01/05
462844              9.16                01/04
462847              2.19                01/03
462850              13.67               01/18
462857              3.09                01/10
462859              68.02               01/09
462883              9234.0              01/03
463139              7800.0              01/03
463227              189.06              01/03
463237              19.46               01/17
463238              3.0                 01/04
463432              2500.0              01/03
463473              1800.0              01/03
463531              2500.0              01/03
463545              2235.38             01/03
463561              950.0               01/04
463562              1941.39             01/04
463586              1300.0              01/11
463614              11700.0             01/03
463691              2500.0              01/05
463765              50.58               01/19
463766              11.62               01/09
463768              50.58               01/20
463769              35.0                01/09
463770              339.22              01/03
463779              9.23                01/10
463787              107.1               01/10
463788              2.83                01/17
463789              5.0                 01/17
463796              192.44              01/05
463797              736.65              01/13
463798              20.24               01/20
463799              14.97               01/13
463806              291.7               01/04
463812              233.93              01/04
463814              76.0                01/09
463815              270.91              01/05
463817              17.84               01/18
463854              1000.0              01/03
463859              1400.0              01/06
463869              560.0               01/03
463875              4905.15             01/04
463943              928.55              01/03
463978              1250.61             01/04
463979              6000.0              01/05
464121              500.0               01/03
464168              1563.21             01/03
464170              800.0               01/13
464197              4500.0              01/04
464241              9700.0              01/03
464246              1515.95             01/06
464249              681.02              01/03
464264              6.01                01/03
464265              12.27               01/03
464266              4.0                 01/04
464270              150.0               01/11
464273              64.0                01/03
464274              145.25              01/03
464278              67.25               01/10
464281              28.66               01/17
464283              200.4               01/13
464288              143.68              01/13
464291              377.12              01/04
464294              48.77               01/03
464296              300.72              01/10
464297              16.74               01/10
464301              23.83               01/09
464303              32.62               01/10
464305              202.41              01/03
464309              25.37               01/03
464313              200.13              01/03
464314              821.62              01/03
464317              100.24              01/03
464331              29.35               01/12
464332              40.0                01/09
464333              338.29              01/04
464334              100.0               01/05
464338              42.38               01/13
464342              23.86               01/17
464347              8.15                01/13
464348              18.66               01/05
464351              25.26               01/03
464353              18.34               01/06
464354              16.65               01/19
464356              3.01                01/10
464361              20.0                01/09
464368              10.1                01/10
464372              4.48                01/11
464376              93.94               01/18
464381              496.99              01/12
464383              84.9                01/10
464398              75.0                01/05
464447              1440.02             01/03
464448              799.14              01/03
464504              462.0               01/05
464515              787.0               01/03
464538              1500.0              01/03
464541              1800.0              01/04
464567              500.0               01/05
464616              1309.55             01/11
