Check Number        Amount              Date
468099              3496.54             01/13
468100              5230.0              01/04
468101              2456.0              01/11
468103              2600.0              01/04
468110              10000.0             01/09
468116              2387.0              01/06
468120              4727.41             01/13
468122              994.13              01/10
468126              1194.8              01/09
468134              2200.0              01/06
468143              2200.0              01/05
468153              16095.39            01/09
468155              4000.0              01/05
468156              1500.0              01/09
468160              890.0               01/11
468167              650.0               01/06
468168              1000.0              01/06
468176              15000.0             01/10
468179              1897.28             01/09
468187              5700.0              01/06
468196              600.0               01/06
468201              8500.0              01/09
468203              2000.0              01/09
468206              1530.1              01/04
468210              2000.0              01/11
468211              2000.0              01/11
468212              2000.0              01/11
468221              4000.0              01/09
468224              6000.0              01/06
468228              1104.0              01/09
468229              1200.0              01/04
468230              7345.0              01/09
468236              9900.0              01/06
468240              4450.0              01/05
468250              1500.0              01/09
468260              3600.0              01/05
468271              300.0               01/06
468272              2000.0              01/11
468283              900.0               01/09
468288              2500.0              01/04
468301              881.0               01/06
468302              2900.0              01/04
468304              1080.0              01/06
468306              11150.0             01/05
468308              100.0               01/04
468312              3150.3              01/03
468318              8000.0              01/09
468323              8812.0              01/11
468324              9500.0              01/09
468325              2400.0              01/06
468330              15000.0             01/11
468332              15000.0             01/18
468334              1000.0              01/06
468343              4600.0              01/03
468346              5700.0              01/06
468358              400.0               01/04
468361              49.48               01/09
468363              4.03                01/09
468365              194.57              01/09
468366              6.9                 01/20
468369              34.12               01/06
468372              75.57               01/04
468373              45.36               01/03
468374              141.49              01/05
468375              897.96              01/03
468376              137.79              01/09
468377              176.65              01/03
468378              1055.01             01/03
468380              48.51               01/09
468384              300.15              01/06
468386              119.43              01/09
468388              197.38              01/11
468389              200.0               01/05
468395              875.0               01/05
468397              1000.0              01/03
468398              300.63              01/04
468399              432.74              01/05
468400              300.63              01/04
468401              473.55              01/17
468402              169.61              01/09
468403              700.47              01/09
468404              313.75              01/06
468460              52.0                01/12
468461              2493.03             01/03
468462              544.89              01/19
468463              1000.0              01/03
468464              2677.09             01/05
468465              1200.0              01/03
468466              3534.68             01/03
468467              1000.0              01/04
468468              400.0               01/04
468469              500.0               01/05
468470              450.0               01/05
468471              300.0               01/03
468472              580.0               01/04
468473              400.0               01/04
468474              2112.05             01/04
468475              13590.83            01/03
468476              5811.45             01/04
468477              899.64              01/04
468478              5816.95             01/04
468479              5419.55             01/05
468480              2825.65             01/03
468481              2509.75             01/03
468482              3686.59             01/04
468483              2700.0              01/09
468484              1110.14             01/04
468485              1050.0              01/09
468486              1800.0              01/06
468487              2400.0              01/06
468488              5000.0              01/06
468489              6500.0              01/04
468490              8750.0              01/11
468491              2000.0              01/09
468492              12700.0             01/11
468493              799.99              01/10
468494              4500.0              01/06
468495              3000.0              01/06
468496              2343.75             01/06
468497              2474.91             01/06
468499              1006.82             01/03
468500              900.0               01/04
468501              1450.0              01/03
468502              800.0               01/03
468503              4300.0              01/04
468504              2355.25             01/03
468505              1600.0              01/17
468506              9623.2              01/04
468507              10993.89            01/03
468508              3358.0              01/03
468509              13000.0             01/04
468510              4485.92             01/06
468511              130.0               01/09
468512              13000.0             01/09
468513              1002.6              01/06
468514              11200.22            01/06
468515              2787.48             01/04
468516              250.0               01/11
468517              1300.0              01/10
468518              10000.0             01/17
468519              15000.0             01/09
468521              2000.0              01/10
468522              10119.72            01/04
468523              2100.0              01/03
468524              1754.59             01/05
468525              800.0               01/04
468526              9000.0              01/03
468527              8000.0              01/03
468528              5700.0              01/04
468537              5482.17             01/10
468546              690.03              01/10
468549              830.68              01/10
468558              1456.12             01/09
468561              280.0               01/09
468563              6534.01             01/09
468570              412.1               01/10
468577              182.47              01/09
468580              818.78              01/11
468581              101.59              01/12
468605              1601.69             01/10
468607              4894.22             01/09
468608              12537.69            01/09
468622              2525.0              01/06
468624              3000.0              01/04
468628              9157.5              01/11
468630              6000.0              01/10
468640              1500.0              01/11
468645              2238.11             01/18
468646              876.11              01/06
468647              4800.0              01/11
468649              1999.34             01/11
468650              7132.0              01/11
468682              4233.0              01/05
468683              2400.0              01/05
468688              648.01              01/10
468691              249.19              01/05
468692              204.0               01/09
468710              1120.0              01/09
468742              3500.0              01/17
468743              1730.0              01/11
468745              6500.0              01/03
468746              1700.0              01/11
468749              2935.4              01/06
468751              9850.0              01/09
468756              12870.0             01/11
468769              639.21              01/06
468777              7783.75             01/11
468780              1000.0              01/10
468782              17000.0             01/06
468797              15000.0             01/04
468798              5300.0              01/09
468803              3000.0              01/11
468810              685.3               01/11
468813              11750.0             01/10
468823              5400.0              01/06
468824              2200.0              01/11
468830              1700.0              01/10
468835              11000.0             01/09
468836              3500.0              01/11
468837              228.73              01/09
468846              4500.0              01/11
468849              650.0               01/12
468854              500.0               01/09
468856              500.0               01/09
468862              1546.63             01/04
468868              7019.0              01/06
468870              5127.41             01/05
468876              2380.0              01/06
468878              2900.0              01/09
468880              7200.0              01/06
468885              1500.0              01/11
468887              203.52              01/05
468888              148.92              01/09
468891              3500.0              01/06
468902              1600.0              01/11
468903              2500.0              01/09
468906              1000.0              01/09
468908              3235.0              01/06
468913              440.0               01/10
468920              630.0               01/09
468921              5000.0              01/11
468928              800.0               01/05
468938              2284.86             01/06
468940              403.62              01/09
468944              1500.0              01/09
468945              1500.0              01/06
468946              12771.0             01/20
468948              3000.0              01/06
468955              1275.0              01/11
468956              3000.0              01/18
468963              1898.96             01/09
468966              3500.0              01/11
468967              2000.0              01/11
468988              1556.26             01/09
468993              1900.0              01/09
468997              5000.0              01/09
469001              10500.0             01/11
469003              1590.0              01/11
469004              2440.0              01/11
469007              4906.0              01/11
469012              1500.0              01/11
469028              5200.0              01/10
469036              900.0               01/11
469037              5000.0              01/10
469042              2344.24             01/09
469043              4560.0              01/11
469051              16344.0             01/11
469054              407.0               01/10
469055              429.28              01/11
469076              14355.0             01/11
469097              3000.0              01/11
469098              600.0               01/06
469103              1595.0              01/10
469104              1900.0              01/09
469123              1200.0              01/13
469129              3495.0              01/11
469130              2519.1              01/19
469142              2500.0              01/09
469146              1159.75             01/09
469147              1431.44             01/10
469152              6000.0              01/11
469154              6000.0              01/10
469156              4000.0              01/11
469165              335.33              01/09
469173              4900.0              01/11
469184              1600.0              01/10
469185              1400.0              01/09
469187              1000.0              01/10
469188              3239.11             01/11
469190              5900.0              01/09
469192              6900.0              01/13
469193              1245.0              01/11
469205              11880.0             01/10
469209              11000.0             01/11
469218              2000.0              01/10
469221              3316.81             01/11
469226              8850.0              01/05
469231              2000.0              01/17
469237              10890.0             01/09
469246              10000.0             01/11
469254              3978.84             01/09
469264              1435.64             01/10
469268              958.16              01/10
469269              1028.19             01/06
469272              707.0               01/10
469273              860.65              01/09
469285              137.18              01/18
469286              4860.0              01/09
469290              2750.0              01/09
469294              1813.37             01/11
469295              19000.0             01/10
469304              835.68              01/10
469312              1900.0              01/09
469325              3700.0              01/10
469328              140.0               01/10
469334              930.91              01/10
469343              2186.52             01/11
469347              3469.0              01/10
469351              2450.0              01/09
469363              5300.0              01/11
469365              1000.0              01/09
469376              1000.0              01/11
469389              55.0                01/17
469390              11.95               01/20
469393              149.7               01/09
469395              111.65              01/13
469396              4.42                01/10
469397              195.69              01/09
469398              25.0                01/18
469400              147.81              01/05
469401              152.65              01/06
469405              70.0                01/13
469406              201.8               01/12
469407              451.1               01/11
469408              501.2               01/06
469410              250.27              01/11
469411              200.16              01/11
469412              1048.9              01/17
469414              20.41               01/13
469415              238.85              01/10
469416              38.79               01/09
469417              1967.06             01/11
469419              2507.2              01/09
469421              200.42              01/10
469422              503.8               01/09
469424              200.36              01/13
469425              250.54              01/10
469428              2003.79             01/09
469429              67.64               01/18
469430              64.82               01/18
469431              164.93              01/10
469434              32.57               01/17
469435              198.76              01/09
469437              125.19              01/17
469438              7.98                01/09
469439              200.22              01/10
469441              312.37              01/09
469442              96.53               01/17
469445              54.01               01/09
469446              46.59               01/19
469447              18.4                01/09
469448              75.0                01/09
469450              327.77              01/05
469451              784.62              01/12
469454              73.4                01/13
469460              34.71               01/11
469463              320.0               01/17
469465              4.52                01/11
469466              150.0               01/19
469467              30.05               01/13
469468              187.65              01/17
469469              38.15               01/18
469470              124.49              01/12
469473              18.94               01/12
469475              13.63               01/12
469478              28.66               01/12
469479              39.15               01/18
469480              200.0               01/18
469486              40.0                01/13
469491              10.71               01/18
469494              6.03                01/20
469497              514.68              01/10
469503              131.77              01/09
469505              97.55               01/13
469507              672.46              01/10
469508              395.0               01/19
469511              11.86               01/11
469512              109.99              01/09
469513              4.86                01/10
469515              677.06              01/10
469516              6.47                01/17
469517              50.0                01/13
469527              42.22               01/12
469532              109.51              01/13
469534              2.06                01/10
469536              6.37                01/18
469537              80.81               01/11
469542              19.74               01/17
469543              48.65               01/17
469544              1.12                01/20
469548              7.98                01/13
469561              1.1                 01/13
469563              584.16              01/10
469568              6.77                01/13
469571              1.08                01/11
469574              6.07                01/12
469578              50.23               01/18
469579              8.0                 01/17
469582              44.8                01/12
469583              140.5               01/11
469587              32.18               01/11
469589              10.0                01/13
469590              2.63                01/11
469592              7.28                01/13
469593              39.9                01/12
469594              174.7               01/11
469595              94.01               01/11
469597              20.06               01/12
469598              220.62              01/19
469599              10.47               01/12
469600              549.57              01/11
469601              906.72              01/10
469602              20.0                01/13
469603              560.92              01/04
469604              1900.0              01/03
469605              1287.82             01/09
469606              1187.94             01/11
469607              5000.0              01/06
469608              600.0               01/04
469609              667.2               01/09
469610              449.56              01/09
469611              1200.0              01/06
469612              1600.0              01/03
469613              1010.0              01/03
469614              2000.0              01/18
469615              4500.0              01/03
469616              1556.05             01/13
469627              5000.0              01/11
469631              1732.0              01/17
469632              525.0               01/10
469637              5000.0              01/13
469639              736.69              01/12
469642              3500.0              01/17
469657              500.0               01/11
469662              1000.0              01/17
469669              11631.38            01/13
469678              1500.0              01/13
469679              1800.0              01/17
469683              10000.0             01/17
469689              1300.0              01/12
469693              43.43               01/09
469694              200.0               01/09
469695              96.46               01/09
469697              16.31               01/17
469698              131.49              01/19
469699              25.24               01/18
469700              9.9                 01/09
469701              744.52              01/12
469702              25.0                01/09
469704              37.78               01/17
469706              34.54               01/09
469708              184.85              01/10
469709              147.04              01/10
469710              122.23              01/17
469719              5.67                01/12
469720              14.45               01/13
469723              2.44                01/18
469729              86.4                01/17
469731              323.54              01/13
469736              99.47               01/11
469740              91.2                01/17
469741              8.15                01/12
469743              29.8                01/12
469745              95.03               01/11
469746              2850.0              01/09
469747              9000.0              01/04
469748              4100.0              01/04
469749              5500.0              01/06
469750              5199.75             01/06
469751              934.42              01/09
469752              1200.0              01/10
469753              2000.0              01/11
469754              4032.18             01/10
469755              2225.0              01/10
469756              14000.0             01/09
469757              5000.0              01/10
469758              6000.0              01/09
469759              3428.11             01/10
469760              3200.0              01/09
469761              1300.0              01/11
469762              1966.87             01/10
469763              2400.0              01/09
469764              4700.0              01/09
469765              5000.0              01/11
469766              4200.0              01/10
469767              5250.0              01/09
469768              750.0               01/10
469769              3500.0              01/11
469770              1000.0              01/03
469771              280.0               01/10
469772              3300.0              01/06
469773              4000.0              01/06
469774              1725.79             01/09
469775              1284.56             01/05
469776              379.0               01/10
469777              1081.77             01/04
469779              1493.69             01/04
469780              400.0               01/05
469781              100.0               01/12
469782              564.33              01/09
469783              4650.0              01/05
469784              1456.0              01/09
469785              750.0               01/05
469786              17000.0             01/04
469787              2000.0              01/06
469788              750.0               01/09
469789              646.0               01/06
469794              2873.91             01/09
469802              379.55              01/11
469810              4881.41             01/11
469825              2273.19             01/11
469838              4957.19             01/10
469843              1915.13             01/10
469848              4334.91             01/10
469852              750.0               01/11
469858              3670.0              01/11
469859              410.23              01/09
469863              10000.0             01/11
469870              4400.0              01/10
469876              5925.0              01/10
469896              1478.66             01/13
469899              5500.0              01/12
469921              1600.0              01/12
469927              200.0               01/13
469930              825.0               01/19
469932              300.0               01/13
469933              4000.0              01/17
469934              1000.0              01/19
469951              117.0               01/13
469961              5940.0              01/17
469964              2400.0              01/17
469967              700.0               01/11
469969              2000.0              01/17
469970              13500.0             01/17
469980              3709.0              01/17
469987              2829.92             01/17
469992              5700.0              01/12
470006              9500.0              01/11
470011              550.0               01/11
470015              2500.0              01/13
470021              1974.03             01/13
470031              3500.0              01/17
470043              500.0               01/20
470045              4247.1              01/13
470055              8144.21             01/17
470059              2000.0              01/17
470060              2500.0              01/17
470062              4500.0              01/13
470075              5400.0              01/17
470084              2200.0              01/13
470087              1690.0              01/17
470096              731.0               01/13
470105              684.05              01/11
470106              1350.93             01/11
470112              1700.0              01/19
470124              350.0               01/17
470129              500.0               01/13
470140              9219.0              01/13
470157              561.35              01/17
470164              328.4               01/13
470165              577.85              01/17
470166              5200.0              01/12
470180              2389.35             01/17
470192              914.14              01/12
470197              2500.0              01/17
470202              3550.0              01/13
470206              200.0               01/12
470208              5189.64             01/13
470211              4186.71             01/18
470213              13000.0             01/12
470214              5000.0              01/13
470218              1800.0              01/18
470220              4970.04             01/10
470221              605.3               01/17
470226              34.66               01/17
470228              20.0                01/10
470229              353.12              01/11
470230              82.25               01/09
470231              57.02               01/13
470232              1347.35             01/12
470233              4.08                01/19
470237              25.06               01/09
470238              131.85              01/13
470239              2.79                01/10
470240              2.17                01/09
470246              97.08               01/06
470248              235.04              01/17
470249              2.56                01/05
470250              10.0                01/09
470252              1.89                01/13
470253              147.1               01/06
470256              5.82                01/17
470258              56.48               01/10
470259              1.35                01/09
470261              1.23                01/17
470262              2.37                01/09
470264              4.6                 01/10
470267              7.02                01/09
470268              205.82              01/05
470270              70.0                01/19
470271              116.53              01/17
470273              52.85               01/05
470275              56.93               01/20
470276              104.9               01/19
470277              100.0               01/09
470281              107.54              01/06
470283              68.3                01/12
470287              31.0                01/10
470289              13.75               01/10
470290              11.19               01/11
470291              5.29                01/17
470293              10.0                01/19
470294              250.0               01/10
470296              18.0                01/13
470303              120.63              01/11
470304              583.89              01/13
470307              91.03               01/18
470308              208.97              01/10
470309              41.66               01/13
470311              5200.0              01/09
470313              5000.0              01/04
470315              4700.0              01/06
470316              8291.77             01/10
470317              4520.48             01/09
470318              820.0               01/09
470319              12250.0             01/10
470320              8000.0              01/10
470321              2716.18             01/10
470322              425.0               01/09
470323              4569.0              01/09
470324              1200.0              01/09
470325              6000.0              01/09
470326              1500.0              01/17
470327              1400.0              01/10
470328              2350.0              01/10
470329              8100.0              01/11
470330              5500.0              01/10
470331              800.0               01/09
470332              2700.0              01/10
470333              2554.12             01/12
470334              150.0               01/10
470335              6000.0              01/11
470336              1200.0              01/11
470337              7772.32             01/10
470339              10000.0             01/11
470340              3700.0              01/10
470341              4177.0              01/10
470342              1300.0              01/10
470344              3065.0              01/10
470345              1637.93             01/06
470361              200.0               01/13
470374              259.43              01/12
470377              241.96              01/10
470411              1634.5              01/11
470420              3000.0              01/12
470423              1253.85             01/17
470443              1380.0              01/11
470450              3195.0              01/11
470452              14383.04            01/09
470460              3930.0              01/13
470473              2500.0              01/12
470480              3000.0              01/13
470481              4000.0              01/17
470494              1550.0              01/12
470500              225.0               01/11
470515              1400.0              01/17
470527              2200.0              01/17
470532              7200.0              01/13
470538              10500.0             01/12
470539              4111.0              01/13
470554              200.0               01/10
470556              494.43              01/17
470557              2000.0              01/13
470563              1158.66             01/13
470575              1664.0              01/10
470576              734.01              01/19
470577              13000.0             01/12
470578              4655.0              01/09
470580              2400.0              01/17
470587              2700.0              01/17
470600              10500.0             01/17
470612              5000.0              01/13
470614              4925.0              01/13
470626              1709.0              01/13
470629              550.0               01/13
470634              6300.0              01/13
470636              11150.0             01/19
470656              940.0               01/13
470661              450.0               01/17
470663              2000.0              01/13
470667              800.0               01/17
470669              15287.97            01/17
470677              3091.39             01/12
470678              1000.0              01/13
470694              5500.0              01/13
470699              1600.0              01/17
470712              3184.7              01/17
470717              10000.0             01/12
470722              915.0               01/17
470733              7100.0              01/17
470738              3000.0              01/17
470742              6000.0              01/17
470752              12530.13            01/17
470769              617.64              01/17
470772              3042.24             01/17
470775              4440.5              01/17
470782              3000.0              01/12
470794              5000.0              01/17
470795              4165.34             01/18
470797              2000.0              01/13
470801              2000.0              01/12
470811              9395.0              01/17
470813              13800.0             01/18
470816              3000.0              01/13
470836              5000.0              01/12
470837              8000.0              01/13
470840              8000.0              01/10
470844              575.0               01/12
470853              3000.0              01/20
470858              7500.0              01/12
470861              135.15              01/13
470862              950.0               01/12
470867              7425.0              01/10
470870              314.0               01/13
470877              7800.0              01/17
470883              23750.0             01/11
470912              2000.0              01/12
470915              14400.0             01/12
470926              1156.98             01/13
470928              274.28              01/13
470931              372.62              01/17
470933              19.35               01/09
470936              6.6                 01/10
470937              40.0                01/09
470940              5.09                01/12
470944              85.63               01/10
470945              25.81               01/10
470947              7.33                01/17
470948              58.93               01/13
470951              25.53               01/09
470952              80.24               01/09
470953              170.11              01/10
470954              2000.0              01/10
470972              18.41               01/18
470973              220.72              01/17
470974              222.79              01/17
470976              265.55              01/13
470983              978.38              01/09
470984              4114.71             01/04
470985              2300.0              01/05
470986              1000.0              01/04
470987              300.0               01/05
470988              49.69               01/17
470989              8000.0              01/09
470990              6434.65             01/10
470991              7500.0              01/11
470992              1734.8              01/11
470993              9000.0              01/12
470994              1800.0              01/17
470995              5000.0              01/11
470996              3259.23             01/13
470997              950.0               01/12
470998              1170.82             01/13
470999              3335.0              01/11
471001              7600.0              01/12
471002              3316.74             01/12
471003              3162.72             01/11
471004              6194.0              01/12
471005              3000.0              01/12
471006              8640.0              01/12
471007              3000.0              01/09
471008              8193.0              01/11
471009              2050.0              01/09
471010              3000.0              01/09
471011              2306.41             01/09
471012              2000.0              01/10
471013              8000.0              01/09
471014              2323.01             01/09
471015              3436.08             01/09
471016              2000.0              01/09
471017              600.0               01/11
471018              819.56              01/10
471019              746.64              01/11
471020              4971.33             01/11
471021              6300.0              01/09
471022              120.0               01/12
471023              3050.0              01/09
471024              4240.98             01/06
471025              8500.0              01/09
471026              1000.0              01/10
471027              13189.4             01/10
471028              3114.7              01/10
471030              3000.0              01/17
471032              2016.86             01/13
471036              2429.53             01/17
471037              718.25              01/17
471055              1620.0              01/12
471060              1691.0              01/10
471092              500.0               01/17
471106              2131.63             01/13
471117              4904.8              01/11
471121              8500.0              01/17
471141              3523.09             01/11
471147              1642.0              01/12
471151              223.91              01/13
471155              800.0               01/17
471161              1900.0              01/09
471167              700.0               01/17
471175              8415.0              01/17
471181              1400.0              01/17
471182              3027.0              01/13
471188              4493.53             01/17
471200              1023.67             01/12
471207              2600.0              01/17
471208              10000.0             01/17
471210              569.0               01/12
471214              8309.0              01/17
471219              1000.0              01/17
471221              5100.0              01/13
471222              998.31              01/13
471223              500.0               01/13
471235              3000.0              01/13
471237              662.35              01/17
471241              1674.6              01/19
471253              6700.0              01/17
471255              7000.0              01/17
471263              11880.0             01/18
471282              986.78              01/11
471284              293.54              01/11
471286              1850.0              01/10
471290              3200.0              01/13
471301              15000.0             01/12
471311              1713.39             01/17
471315              3000.0              01/12
471327              5464.91             01/17
471341              1800.0              01/12
471358              3315.0              01/17
471361              3311.48             01/19
471366              12250.0             01/13
471371              900.0               01/17
471375              440.89              01/13
471380              2000.0              01/17
471385              685.0               01/17
471390              5000.0              01/17
471392              2742.0              01/17
471394              1200.0              01/17
471398              6696.06             01/17
471402              300.0               01/13
471414              3967.94             01/18
471415              2500.0              01/18
471417              3750.0              01/17
471428              1000.0              01/17
471434              8000.0              01/18
471437              7980.01             01/13
471439              7700.0              01/13
471454              1076.27             01/13
471455              579.91              01/13
471458              3900.0              01/13
471462              900.0               01/12
471465              4358.64             01/17
471475              2970.0              01/17
471480              1700.0              01/17
471481              8217.0              01/18
471483              300.0               01/17
471485              3000.0              01/13
471491              3702.14             01/17
471494              2140.5              01/17
471495              2733.0              01/17
471497              3895.0              01/17
471500              412.09              01/17
471502              2500.0              01/17
471509              775.0               01/13
471519              4400.0              01/17
471521              4407.5              01/13
471529              3400.0              01/12
471532              2222.09             01/17
471539              778.03              01/18
471555              5000.0              01/13
471557              1624.0              01/13
471561              2336.5              01/17
471565              4950.0              01/17
471580              6000.0              01/17
471582              1500.0              01/17
471583              3500.0              01/17
471591              13860.0             01/13
471592              714.25              01/12
471602              1000.0              01/17
471604              10000.0             01/09
471616              5000.0              01/20
471617              6000.0              01/12
471623              1000.0              01/13
471624              499.15              01/17
471631              1000.0              01/17
471633              13500.0             01/10
471657              3000.0              01/13
471659              6200.0              01/17
471667              43.45               01/18
471668              12.03               01/18
471669              75.0                01/11
471670              5.23                01/12
471671              328.26              01/17
471672              50.0                01/18
471674              38.4                01/17
471675              31.87               01/10
471676              98.27               01/11
471677              25.0                01/10
471678              43.98               01/09
471679              4.11                01/10
471682              8.5                 01/12
471683              41.04               01/09
471684              60.0                01/17
471685              235.86              01/12
471686              1.98                01/11
471687              15.95               01/10
471688              61.55               01/17
471689              17.13               01/17
471690              8.55                01/17
471693              23.83               01/11
471695              29.63               01/09
471696              250.0               01/12
471697              4.1                 01/13
471700              42.17               01/13
471701              756.72              01/10
471703              224.15              01/17
471704              200.38              01/20
471706              200.12              01/17
471707              64.78               01/17
471708              199.91              01/13
471710              94.9                01/17
471711              200.26              01/13
471712              463.11              01/09
471713              945.41              01/17
471714              250.31              01/17
471717              350.39              01/13
471718              933.68              01/12
471721              202.83              01/11
471722              300.24              01/13
471724              200.16              01/12
471727              505.05              01/13
471729              500.36              01/12
471730              647.53              01/11
471731              200.14              01/11
471732              8.15                01/11
471734              35.51               01/13
471735              8682.0              01/13
471737              4065.62             01/12
471738              1762.0              01/12
471739              8910.0              01/09
471740              1817.04             01/12
471741              2100.0              01/09
471742              800.0               01/09
471743              15000.0             01/10
471744              422.22              01/11
471746              6200.0              01/12
471747              9500.0              01/10
471748              2700.0              01/11
471750              5500.0              01/10
471751              10000.0             01/11
471752              5000.0              01/10
471753              500.0               01/13
471754              2500.0              01/12
471755              3500.0              01/12
471756              402.42              01/17
471758              2600.0              01/09
471759              9600.73             01/17
471760              9500.0              01/11
471761              11000.0             01/12
471762              3000.0              01/12
471763              3000.0              01/11
471764              7000.0              01/11
471765              7000.0              01/12
471766              3827.8              01/12
471767              1660.0              01/17
471768              1000.0              01/17
471769              3000.0              01/12
471770              8000.0              01/13
471771              642.16              01/17
471772              2700.0              01/18
471773              10500.0             01/13
471774              1927.42             01/12
471775              500.0               01/17
471776              1093.59             01/17
471777              10700.0             01/12
471778              14400.0             01/13
471779              882.93              01/13
471781              5000.0              01/17
471782              8600.0              01/18
471784              15000.0             01/11
471785              2423.4              01/12
471786              2400.0              01/12
471787              3200.0              01/13
471788              294.3               01/09
471789              2822.0              01/12
471790              10000.0             01/11
471791              13000.0             01/13
471792              2706.0              01/13
471793              2000.0              01/11
471794              2000.0              01/17
471795              9238.6              01/09
471796              14000.0             01/12
471797              4300.0              01/12
471798              2850.0              01/17
471799              2272.34             01/12
471800              1904.68             01/12
471801              3000.0              01/13
471802              1000.0              01/17
471803              3818.29             01/13
471804              4400.0              01/11
471805              2550.0              01/11
471806              7648.0              01/13
471807              3500.0              01/17
471808              8114.43             01/12
471809              4000.0              01/09
471810              4264.48             01/12
471811              4800.0              01/17
471812              713.73              01/17
471813              17650.0             01/12
471814              5226.84             01/12
471815              1000.0              01/12
471816              1600.0              01/12
471817              4000.0              01/13
471818              8500.0              01/12
471819              10000.0             01/12
471820              7300.0              01/12
471821              800.0               01/12
471822              600.0               01/17
471824              5000.0              01/13
471825              2000.0              01/13
471826              3621.5              01/13
471827              6660.0              01/13
471829              8250.0              01/13
471830              9500.0              01/10
471831              2524.07             01/17
471832              9500.0              01/13
471833              2121.92             01/13
471834              6000.0              01/17
471835              5500.0              01/13
471837              14262.78            01/12
471838              2550.39             01/19
471839              2695.27             01/12
471840              3900.0              01/17
471841              5300.0              01/13
471842              3000.0              01/09
471843              425.0               01/12
471844              1794.65             01/12
471845              4000.0              01/12
471846              370.0               01/17
471847              6100.0              01/12
471848              10000.0             01/12
471878              620.54              01/17
471879              688.55              01/13
471886              3143.8              01/13
471898              4500.0              01/19
471907              651.02              01/19
471908              765.33              01/19
471922              415.0               01/17
471929              2884.03             01/13
471930              6315.97             01/17
471961              20000.0             01/19
471974              2600.0              01/17
471975              5500.0              01/17
471980              390.0               01/17
471981              1780.0              01/17
471982              4804.29             01/17
471983              1057.0              01/17
471989              3900.0              01/17
471991              3700.0              01/17
471992              9200.0              01/13
472011              3000.0              01/17
472017              17000.0             01/17
472027              341.72              01/11
472034              1168.45             01/13
472036              894.0               01/13
472043              5000.0              01/17
472062              984.83              01/11
472064              1500.0              01/17
472066              816.91              01/13
472068              5644.62             01/17
472069              681.0               01/12
472072              1008.94             01/17
472077              2890.13             01/12
472083              514.13              01/12
472086              4200.0              01/12
472094              5000.0              01/17
472107              1175.0              01/18
472109              1020.0              01/13
472125              8800.0              01/17
472133              2100.0              01/11
472138              545.4               01/11
472140              8000.0              01/17
472141              600.0               01/11
472143              1200.0              01/12
472153              2000.0              01/13
472164              8000.0              01/17
472169              700.0               01/17
472172              3000.0              01/17
472174              330.0               01/17
472184              700.0               01/11
472185              2579.0              01/17
472186              6800.0              01/17
472194              1203.66             01/18
472197              1500.0              01/13
472200              838.33              01/17
472203              7000.0              01/17
472205              1682.0              01/17
472213              7600.0              01/13
472214              13500.0             01/17
472220              2709.53             01/13
472225              6000.0              01/12
472226              7500.0              01/13
472230              1600.0              01/17
472231              8900.0              01/17
472277              2422.0              01/17
472281              16500.0             01/18
472284              1100.0              01/13
472288              16000.0             01/17
472300              2700.0              01/13
472301              1650.0              01/13
472306              250.44              01/11
472307              2527.63             01/12
472308              2500.0              01/17
472309              4900.0              01/13
472311              6500.0              01/13
472316              3501.61             01/18
472327              7000.0              01/17
472343              300.0               01/17
472345              1800.0              01/12
472347              2950.0              01/13
472353              4900.0              01/13
472377              4500.0              01/18
472391              1200.0              01/13
472396              3200.0              01/17
472402              1700.0              01/17
472404              1634.0              01/17
472406              560.0               01/17
472407              772.0               01/17
472408              5188.0              01/17
472410              2600.0              01/18
472411              4000.0              01/17
472417              3500.0              01/18
472421              2500.0              01/17
472426              2800.0              01/17
472427              700.0               01/20
472428              2771.6              01/17
472432              5700.0              01/17
472434              4000.0              01/12
472439              4257.0              01/17
472441              1200.0              01/17
472465              6000.0              01/13
472468              5000.0              01/17
472476              1500.0              01/12
472479              3781.58             01/17
472483              4000.0              01/12
472490              382.5               01/13
472493              10360.25            01/17
472500              1200.0              01/12
472506              18000.0             01/13
472517              5000.0              01/12
472524              2191.4              01/17
472533              320.8               01/13
472534              3830.0              01/13
472539              2324.41             01/17
472545              966.41              01/13
472549              400.0               01/13
472563              7000.0              01/12
472583              400.0               01/19
472602              2583.81             01/13
472610              900.0               01/19
472611              2000.0              01/19
472620              3139.21             01/19
472621              1099.5              01/17
472625              1186.99             01/19
472626              2000.0              01/19
472628              1200.0              01/19
472629              5823.48             01/18
472632              14289.36            01/13
472633              10250.0             01/17
472635              501.89              01/19
472636              1095.14             01/19
472640              2947.71             01/17
472652              750.0               01/19
472659              2500.0              01/17
472668              3000.0              01/17
472673              5800.0              01/17
472677              4430.0              01/19
472679              4982.84             01/17
472680              5177.0              01/19
472683              5118.66             01/17
472689              550.0               01/17
472709              2518.38             01/17
472710              1540.0              01/17
472711              1000.0              01/19
472715              4390.0              01/19
472718              1200.0              01/17
472720              300.0               01/17
472728              1500.0              01/19
472741              1450.0              01/19
472742              4400.0              01/19
472748              1200.0              01/20
472751              4000.0              01/17
472752              4650.0              01/17
472754              4200.0              01/19
472755              1000.0              01/17
472761              4000.0              01/20
472769              10820.86            01/17
472777              4000.0              01/18
472786              1848.11             01/19
472787              1586.38             01/19
472791              16206.3             01/13
472804              2700.0              01/19
472817              1511.85             01/19
472818              4900.0              01/19
