Check Number   Amount         Running Total

401889         20.0           20.00
403013         15.62          35.62
404653         2000.0         2,035.62
406892         2.17           2,037.79
412560         3.58           2,041.37
413513         38.34          2,079.71
423481         2.87           2,082.58
428372         15.79          2,098.37
431304         58.0           2,156.37
433732         69.63          2,226.00
439744         31.11          2,257.11
439818         13.36          2,270.47
441299         10.0           2,280.47
444121         25.11          2,305.58
444143         6.68           2,312.26
444147         60.0           2,372.26
446783         35.3           2,407.56
447628         22.99          2,430.55
449917         205.04         2,635.59
449940         47.42          2,683.01
449969         255.39         2,938.40
450005         15.43          2,953.83
450142         28.95          2,982.78
450802         238.74         3,221.52
451805         2910.94        6,132.46
453188         3250.0         9,382.46
453533         171.8          9,554.26
454532         1700.0         11,254.26
455908         2300.0         13,554.26
456018         1.71           13,555.97
456765         1.86           13,557.83
457908         19.18          13,577.01
457982         500.0          14,077.01
458924         23.65          14,100.66
458938         2.36           14,103.02
458950         4.13           14,107.15
458955         7.9            14,115.05
458971         19.95          14,135.00
460114         23.25          14,158.25
460137         14.46          14,172.71
460456         1526.82        15,699.53
462655         18.97          15,718.50
462672         8.63           15,727.13
462678         121.72         15,848.85
462801         46.28          15,895.13
462808         150.53         16,045.66
463018         1125.0         17,170.66
463782         30.75          17,201.41
463785         1.04           17,202.45
464214         12500.0        29,702.45
464272         1.91           29,704.36
464282         21.28          29,725.64
464287         200.2          29,925.84
464335         30.0           29,955.84
464362         100.75         30,056.59
464367         2.0            30,058.59
464391         29.56          30,088.15
464392         48.8           30,136.95
464437         3296.59        33,433.54
464695         3900.0         37,333.54
464848         46.26          37,379.80
464875         7.86           37,387.66
464884         46.09          37,433.75
464999         1564.21        38,997.96
465096         10440.0        49,437.96
465101         2500.0         51,937.96
465163         2000.0         53,937.96
465571         3878.0         57,815.96
465881         75.05          57,891.01
465940         13.85          57,904.86
465947         483.0          58,387.86
465949         380.0          58,767.86
465971         2.0            58,769.86
465981         1.15           58,771.01
465992         11.9           58,782.91
465998         22.02          58,804.93
466000         3.5            58,808.43
466003         52.99          58,861.42
466005         456.32         59,317.74
466010         300.0          59,617.74
466016         18.48          59,636.22
466029         98.63          59,734.85
466030         694.62         60,429.47
466031         65.8           60,495.27
466331         24.47          60,519.74
466348         30.0           60,549.74
466368         161.31         60,711.05
466370         292.81         61,003.86
466500         1534.78        62,538.64
466535         1500.0         64,038.64
466801         524.81         64,563.45
466838         29.21          64,592.66
466861         2.51           64,595.17
466871         7.36           64,602.53
466872         1.92           64,604.45
466876         5.77           64,610.22
466883         156.06         64,766.28
466884         13.37          64,779.65
466894         82.23          64,861.88
467509         9900.0         74,761.88
467573         1900.0         76,661.88
467698         10.66          76,672.54
467714         70.0           76,742.54
467717         44.14          76,786.68
467732         32.52          76,819.20
467736         50.0           76,869.20
467745         54.48          76,923.68
467755         166.17         77,089.85
468165         1500.0         78,589.85
468362         44.52          78,634.37
468367         90.0           78,724.37
468371         100.0          78,824.37
468393         2120.31        80,944.68
468458         33.31          80,977.99
469394         60.0           81,037.99
469399         127.04         81,165.03
469418         198.94         81,363.97
469433         139.4          81,503.37
469443         22.01          81,525.38
469457         69.74          81,595.12
469472         19.8           81,614.92
469481         2.39           81,617.31
469483         52.88          81,670.19
469485         50.0           81,720.19
469502         95.17          81,815.36
469506         115.52         81,930.88
469510         141.21         82,072.09
469521         43.5           82,115.59
469525         202.33         82,317.92
469528         116.8          82,434.72
469530         3.1            82,437.82
469533         24.11          82,461.93
469553         280.0          82,741.93
469558         5.96           82,747.89
469565         1.38           82,749.27
469575         23.75          82,773.02
469585         942.78         83,715.80
469586         10.0           83,725.80
469653         4000.0         87,725.80
469655         2300.0         90,025.80
469703         45.48          90,071.28
469712         429.66         90,500.94
469715         1.75           90,502.69
469717         21.71          90,524.40
469725         345.14         90,869.54
469733         24.14          90,893.68
469734         26.0           90,919.68
469735         37.87          90,957.55
469738         22.28          90,979.83
469998         2480.49        93,460.32
470224         49.84          93,510.16
470227         134.0          93,644.16
470236         25.0           93,669.16
470243         99.27          93,768.43
470247         2.3            93,770.73
470251         4.42           93,775.15
470255         1.2            93,776.35
470257         1.32           93,777.67
470269         1.31           93,778.98
470282         100.0          93,878.98
470292         59.0           93,937.98
470298         27.63          93,965.61
470300         1.86           93,967.47
470306         20.0           93,987.47
470566         3050.0         97,037.47
470593         3000.0         100,037.47
470744         1680.0         101,717.47
470768         7000.0         108,717.47
470938         2.4            108,719.87
470941         20.0           108,739.87
470949         250.0          108,989.87
470950         121.77         109,111.64
470958         23.64          109,135.28
470960         48.06          109,183.34
470965         100.0          109,283.34
470975         143.5          109,426.84
470980         2000.0         111,426.84
470981         2000.0         113,426.84
470982         1000.0         114,426.84
471116         2350.0         116,776.84
471313         3612.54        120,389.38
471426         5700.0         126,089.38
471613         650.0          126,739.38
471614         1600.0         128,339.38
471691         4.01           128,343.39
471692         39.9           128,383.29
471694         1.3            128,384.59
471719         115.79         128,500.38
471728         121.57         128,621.95
471733         31.91          128,653.86
471757         521.62         129,175.48
471864         10000.0        139,175.48
472038         3000.0         142,175.48
472104         1938.0         144,113.48
472282         1500.0         145,613.48
472329         2000.0         147,613.48
472463         2757.68        150,371.16
472497         6500.0         156,871.16
472498         597.85         157,469.01
472650         2300.0         159,769.01
472765         4500.0         164,269.01
472868         2346.0         166,615.01
472907         1000.0         167,615.01
472956         2400.0         170,015.01
472986         6000.0         176,015.01
473337         3311.11        179,326.12
473390         1500.0         180,826.12
473465         11.0           180,837.12
473472         15.0           180,852.12
473473         231.93         181,084.05
473477         2.26           181,086.31
473482         200.5          181,286.81
473483         200.48         181,487.29
473490         200.18         181,687.47
473497         86.82          181,774.29
473508         300.66         182,074.95
473526         11.69          182,086.64
473538         39.0           182,125.64
473542         83.92          182,209.56
473544         200.08         182,409.64
473550         41.39          182,451.03
473551         385.01         182,836.04
473552         250.0          183,086.04
473570         2149.76        185,235.80
473648         1300.0         186,535.80
473660         25.46          186,561.26
473664         1.31           186,562.57
473665         66.67          186,629.24
473670         112.04         186,741.28
473683         35.68          186,776.96
473687         87.11          186,864.07
473813         2275.0         189,139.07
473814         323.0          189,462.07
473856         8000.0         197,462.07
473910         160.42         197,622.49
473912         28.86          197,651.35
473913         2.26           197,653.61
473917         125.0          197,778.61
473920         18.25          197,796.86
473921         507.36         198,304.22
473933         1000.0         199,304.22
473935         249.12         199,553.34
473938         2850.0         202,403.34
473940         104.46         202,507.80
473951         488.0          202,995.80
473952         35.89          203,031.69
473954         414.55         203,446.24
473957         250.0          203,696.24
473958         60.77          203,757.01
474318         807.93         204,564.94
474334         15000.0        219,564.94
474662         2000.0         221,564.94
474689         60.0           221,624.94
474716         3960.99        225,585.93
474759         7722.0         233,307.93
474874         3000.0         236,307.93
474930         7672.5         243,980.43
474963         42.47          244,022.90
474964         99.85          244,122.75
474969         10.0           244,132.75
475064         2172.37        246,305.12
475096         2600.0         248,905.12
475154         3132.65        252,037.77
475187         1.34           252,039.11
475191         45.0           252,084.11
475197         200.09         252,284.20
475203         300.21         252,584.41
475204         2007.58        254,591.99
475209         200.54         254,792.53
475212         300.66         255,093.19
475215         184.58         255,277.77
475219         319.33         255,597.10
475224         225.16         255,822.26
475229         225.13         256,047.39
475230         201.6          256,248.99
475234         500.27         256,749.26
475240         200.04         256,949.30
475243         23.01          256,972.31
475246         89.99          257,062.30
475249         1181.36        258,243.66
475260         403.66         258,647.32
475262         369.62         259,016.94
475267         222.99         259,239.93
475269         25.0           259,264.93
475274         18.0           259,282.93
475275         22.29          259,305.22
475285         64.48          259,369.70
475286         30.05          259,399.75
475288         864.0          260,263.75
475290         10.83          260,274.58
475294         110.0          260,384.58
475296         100.0          260,484.58
475297         1664.89        262,149.47
475302         175.75         262,325.22
475305         2500.0         264,825.22
475343         6900.0         271,725.22
475367         1247.0         272,972.22
475385         1800.0         274,772.22
475395         4500.0         279,272.22
475397         951.0          280,223.22
475415         1052.23        281,275.45
475427         198.17         281,473.62
475494         9975.0         291,448.62
475503         206.15         291,654.77
475532         10.09          291,664.86
475534         200.0          291,864.86
475537         321.24         292,186.10
475538         21.17          292,207.27
475539         99.12          292,306.39
475548         73.42          292,379.81
475549         1.21           292,381.02
475550         28.5           292,409.52
475555         2.13           292,411.65
475556         69.79          292,481.44
475559         121.02         292,602.46
475560         2.0            292,604.46
475562         48.36          292,652.82
475566         400.0          293,052.82
475571         14.0           293,066.82
475572         7.75           293,074.57
475631         536.62         293,611.19
475632         96.14          293,707.33
475633         121.45         293,828.78
475635         24.04          293,852.82
475637         6.05           293,858.87
475640         71.26          293,930.13
475642         328.68         294,258.81
475647         62.0           294,320.81
475648         54.76          294,375.57
475652         46.73          294,422.30
475657         102.63         294,524.93
475658         16.76          294,541.69
475668         1.75           294,543.44
475669         7.66           294,551.10
475670         131.17         294,682.27
475671         49.02          294,731.29
475692         173.61         294,904.90
475694         138.14         295,043.04
475698         488.32         295,531.36
475701         3.85           295,535.21
475704         535.62         296,070.83
475710         131.31         296,202.14
475711         16.17          296,218.31
475713         41.4           296,259.71
475714         269.53         296,529.24
475717         450.65         296,979.89
475720         3465.0         300,444.89
475725         230.0          300,674.89
475727         3000.0         303,674.89
475731         2200.0         305,874.89
